pd_threshold,approved_loans,rejected_loans,approval_rate,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_interest_income,total_expected_profit,portfolio_rar
0.05,1074,58331,0.01807928625536571,12581850.0,0.04169931904748603,0.037243947858473,0.07886061452513968,0.1225097957142458,158497.957521795,2957688.8550000004,531817.897478205,0.042268656634612954
0.075,4810,54595,0.08096961535224308,58835250.0,0.05912678759147609,0.045322245322245325,0.09028941787941788,0.12815224610755507,1074488.5374325078,15700173.8225,3999793.285067492,0.06798294024530349
0.1,10904,48501,0.18355357293157143,136814400.0,0.07543295193919662,0.06612252384446075,0.10017006603081438,0.13379961875081986,3277475.2657084605,40988926.817499995,12832958.551791541,0.09379830304260035
0.125,17985,41420,0.30275229357798167,228784875.0,0.09002981803797609,0.08106755629691409,0.10719849874895745,0.13976331707242368,6857671.816762568,74417561.8225,25601876.50573743,0.11190371088008956
0.15,24836,34569,0.4180792862553657,319062675.0,0.10307132979195524,0.09768078595587051,0.11257043002093735,0.14522938063857063,11331864.589346968,110960687.00500001,40403030.91565303,0.1266303898306282
0.175,30985,28420,0.5215890918272873,401228100.0,0.1148030123531709,0.10911731482975634,0.11641632080038729,0.151112590413411,16659958.954742672,147366286.73250002,55158512.77775733,0.13747420177638936
0.2,36383,23022,0.612456863900345,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.15641324651351016,22171888.739963356,183200430.265,70401426.02503665,0.1488675821133443
0.225,40821,18584,0.687164380102685,534353075.0,0.1349456878969893,0.13108449082580045,0.12246499105852379,0.16173593838433747,28031772.490783643,217021028.7475,84753507.75671636,0.15860956308095794
0.25,44329,15076,0.7462166484302668,584308425.0,0.14300873465480837,0.1398407363125719,0.12461113266710279,0.16642833424736717,33578715.74342461,247075072.90000004,97611239.65657538,0.1670543081020531
0.275,47403,12002,0.797963134416295,630488375.0,0.15073265653551463,0.14775436153829927,0.12655692888635742,0.17126794904270912,39635504.80514148,277045887.9825,110324765.67735852,0.17498302911193014
0.3,49727,9678,0.8370844205033247,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.17510965773697468,44890819.34085436,303426690.15500003,122096139.31414564,0.1830187473321879
0.325,51627,7778,0.8690682602474539,698797575.0,0.16281655385288704,0.16173707556123734,0.12966303678307864,0.17894683124676117,50259681.85592822,327778252.49,132658598.13407177,0.18983837792235006
0.35,53183,6222,0.8952613416379093,725283800.0,0.16791512499413347,0.16713987552413365,0.130846353157964,0.18235381575910609,55169309.1589925,348966782.51250005,141746562.35350752,0.19543599671398634
0.375,54481,4924,0.9171113542631092,748753850.0,0.17253807086898185,0.17169288375764027,0.1319081698206714,0.18537292054228152,59843482.912691526,368811887.07,150358851.15730846,0.20081212424792
0.4,55545,3860,0.9350223045198216,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.18807155875285878,64016744.60387994,385932328.72499996,157799454.62112004,0.20544994930767982
0.425,56434,2971,0.949987374800101,784255125.0,0.18036601391347418,0.17978523585072828,0.1336256281674168,0.19073934780613708,68022976.54318166,400588285.8775,163777771.83431834,0.20883226212174047
0.45,57194,2211,0.9627809106977527,797996200.0,0.18377339877247612,0.1830436759100605,0.13432861663810888,0.19314893936796762,71624501.27130535,413290829.055,168899486.78369465,0.21165450008871553
0.475,57802,1603,0.973015739415874,809279575.0,0.18669542406755824,0.18582401993010622,0.13491660496176602,0.1951873692562115,74748459.47989585,423970934.2800001,173144511.30010417,0.2139489450232377
0.5,58289,1116,0.9812137025502904,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.19691798322121737,77362390.38778974,432655836.825,176585978.43721023,0.2158167475449479
