column,dtype,missing_count,missing_pct
mort_acc,float64,37795,9.543468929121532
emp_length,object,18301,4.621114562028129
pub_rec_bankruptcies,float64,535,0.13509077595131683
revol_util,float64,276,0.06969169002348306
loan_status,object,0,0.0
default_flag,int64,0,0.0
loan_amnt,float64,0,0.0
term,object,0,0.0
sub_grade,object,0,0.0
grade,object,0,0.0
installment,float64,0,0.0
int_rate,float64,0,0.0
purpose,object,0,0.0
home_ownership,object,0,0.0
annual_inc,float64,0,0.0
verification_status,object,0,0.0
open_acc,float64,0,0.0
earliest_cr_line,object,0,0.0
dti,float64,0,0.0
pub_rec,float64,0,0.0
total_acc,float64,0,0.0
revol_bal,float64,0,0.0
issue_d,object,0,0.0
address,object,0,0.0
