column,dtype,non_null_count,missing_count,missing_pct
mort_acc,float64,358235,37795,9.543468929121532
emp_title,object,373103,22927,5.7892078882912905
emp_length,object,377729,18301,4.621114562028129
title,object,394274,1756,0.4434007524682474
pub_rec_bankruptcies,float64,395495,535,0.13509077595131683
revol_util,float64,395754,276,0.06969169002348306
installment,float64,396030,0,0.0
int_rate,float64,396030,0,0.0
term,object,396030,0,0.0
grade,object,396030,0,0.0
loan_amnt,float64,396030,0,0.0
verification_status,object,396030,0,0.0
annual_inc,float64,396030,0,0.0
home_ownership,object,396030,0,0.0
sub_grade,object,396030,0,0.0
dti,float64,396030,0,0.0
issue_d,object,396030,0,0.0
loan_status,object,396030,0,0.0
purpose,object,396030,0,0.0
pub_rec,float64,396030,0,0.0
open_acc,float64,396030,0,0.0
earliest_cr_line,object,396030,0,0.0
revol_bal,float64,396030,0,0.0
initial_list_status,object,396030,0,0.0
total_acc,float64,396030,0,0.0
application_type,object,396030,0,0.0
address,object,396030,0,0.0
