sub_grade,n_loans,default_rate,avg_int_rate,avg_loan_amnt
A1,9729,2.8677150786308974,5.826851680542708,12875.300647548565
A2,9567,4.818647433887321,6.512843106511968,12561.317549911153
A3,10576,5.805597579425113,7.3008055975794255,13253.524489409985
A4,15789,7.023877382988156,7.6832782316802835,13461.777186648933
A5,18526,8.490769729029472,8.474720932743171,13774.906887617402
B1,19182,9.858200396204776,9.360481701595246,12654.388228547597
B2,22495,10.8513002889531,10.381126028006223,13091.600355634586
B3,26655,12.335396736072031,11.297358844494465,12926.023260176327
B4,25601,13.839303152220616,12.100112104995898,13124.080114058044
B5,22085,15.50373556712701,12.592389857369255,12604.474756622141
C1,23662,17.369622179021217,13.218187811681178,13062.226354492435
C2,22580,19.75199291408326,13.79662843224092,13345.329937998229
C3,21221,21.841572027708402,14.364448894962539,13891.006550115451
C4,20280,23.535502958579883,14.929493096646942,14349.119822485207
C5,18244,24.506687130015347,15.65590550317913,14378.736844990133
D1,15993,26.380291377477644,16.409532295379226,14004.064278121677
D2,13951,28.03383270016486,17.119526915633287,13985.278833058563
D3,12223,28.421827701873514,17.621395729362675,14396.250920395974
D4,11657,31.131508964570642,18.18861971347688,15638.723513768551
D5,9700,32.01030927835051,18.763293814432988,16099.914948453608
E1,7917,34.40697233800682,19.158789945686497,17048.828470380195
E2,7431,36.73798950343157,19.782529942134303,17466.20912394025
E3,6207,38.037699371677135,20.36467375543741,17900.890124053487
E4,5361,39.302368961014736,21.141296399925384,18354.65864577504
E5,4572,40.31058617672791,21.92589238845144,18329.713473315835
F1,3536,38.744343891402714,22.746569570135744,18634.08512443439
F2,2766,42.48011569052784,23.403246565437453,19326.807664497468
F3,2286,43.61329833770778,24.05873578302712,18708.070866141734
F4,1787,45.60716284275322,24.534616675993284,19557.960268606603
F5,1397,48.67573371510379,25.055826771653543,20825.375805297066
G1,1058,46.12476370510397,25.556209829867676,20526.819470699433
G2,754,48.275862068965516,25.811246684350134,20532.659151193635
G3,552,51.08695652173913,26.118170289855072,21322.327898550724
G4,374,44.919786096256686,26.237754010695188,21699.197860962566
G5,316,50.31645569620253,26.524018987341773,21148.57594936709
