column,role
loan_amnt,primary_numeric_feature
term_months,primary_numeric_feature
annual_inc_log,primary_numeric_feature
dti_capped,primary_numeric_feature
emp_length_num,primary_numeric_feature
emp_length_missing,primary_numeric_feature
open_acc,primary_numeric_feature
pub_rec,primary_numeric_feature
revol_bal_log,primary_numeric_feature
revol_util_capped,primary_numeric_feature
revol_util_missing,primary_numeric_feature
total_acc,primary_numeric_feature
mort_acc,primary_numeric_feature
mort_acc_missing,primary_numeric_feature
pub_rec_bankruptcies,primary_numeric_feature
pub_rec_bankruptcies_missing,primary_numeric_feature
credit_history_length_capped,primary_numeric_feature
home_ownership,primary_categorical_feature
verification_status,primary_categorical_feature
purpose,primary_categorical_feature
initial_list_status,primary_categorical_feature
application_type,primary_categorical_feature
loan_status,benchmark_pricing_or_target_column
default_flag,benchmark_pricing_or_target_column
grade,benchmark_pricing_or_target_column
sub_grade,benchmark_pricing_or_target_column
int_rate,benchmark_pricing_or_target_column
installment,benchmark_pricing_or_target_column
loan_amnt,benchmark_pricing_or_target_column
term_months,benchmark_pricing_or_target_column
issue_date,benchmark_pricing_or_target_column
emp_title,excluded_or_raw_reference
title,excluded_or_raw_reference
address,excluded_or_raw_reference
issue_d,excluded_or_raw_reference
earliest_cr_line,excluded_or_raw_reference
