scenario,policy,funding_cost_rate,operating_cost_rate,target_margin_rate,approval_rate,approved_loans,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_expected_profit,portfolio_rar,total_economic_profit,portfolio_economic_return,total_repriced_economic_profit,repriced_economic_return,underpriced_share,high_risk_share
Base,Conservative,0.04,0.02,0.05,0.612456863900345,36383,472913075.0,0.1255542712960173,0.1217876480773987,0.1197653272132589,0.1249274607841359,22171888.73996336,70401426.02503665,0.1488675821133443,61283265.37625301,0.1295867435601204,66404435.60121636,0.1404157320057525,0.4659044059038562,0.0
Base,Balanced,0.04,0.02,0.05,0.8370844205033247,49727,667123675.0,0.1570982935102258,0.1553079815794236,0.1282221509441551,0.129872342357887,44890819.34085436,122096139.31414564,0.1830187473321879,101518224.41116256,0.1521730201092961,93121861.3470169,0.1395871033163632,0.4344118889134675,0.134212801898365
Base,Growth,0.04,0.02,0.05,0.9350223045198216,55545,768067625.0,0.1766527366505176,0.175983436853002,0.1328284814114681,0.1326171503960089,64016744.60387994,157799454.62112004,0.2054499493076798,125973392.86341152,0.1640134133546008,104937379.49229148,0.1366251825707293,0.4194436943019173,0.2248987307588441
Base,Aggressive,0.04,0.02,0.05,0.9812137025502904,58289,818221850.0,0.1892061780497692,0.1888006313369589,0.135419988333991,0.134277530591328,77362390.38778974,176585978.43721023,0.2158167475449479,136166039.49354452,0.1664170169661743,108502951.05633426,0.132608229731746,0.4109523237660622,0.2613872257201187
Higher Funding Cost,Conservative,0.06,0.02,0.05,0.612456863900345,36383,472913075.0,0.1255542712960173,0.1217876480773987,0.1197653272132589,0.1449274607841359,22171888.73996336,40192387.52503664,0.0849889538897537,31074226.87625301,0.0657081153365298,66404435.60121636,0.1404157320057525,0.6822142209273562,0.0
Higher Funding Cost,Balanced,0.06,0.02,0.05,0.8370844205033247,49727,667123675.0,0.1570982935102258,0.1553079815794236,0.1282221509441551,0.149872342357887,44890819.34085436,76616228.81414565,0.1148456151164859,56038313.91116256,0.0839998878935941,93121861.34701692,0.1395871033163632,0.6463691756993183,0.134212801898365
Higher Funding Cost,Growth,0.06,0.02,0.05,0.9350223045198216,55545,768067625.0,0.1766527366505176,0.175983436853002,0.1328284814114681,0.1526171503960089,64016744.60387994,103094078.12112004,0.1342252618981564,71268016.36341153,0.0927887259450774,104937379.49229153,0.1366251825707294,0.627293185705284,0.2248987307588441
Higher Funding Cost,Aggressive,0.06,0.02,0.05,0.9812137025502904,58289,818221850.0,0.1892061780497692,0.1888006313369589,0.135419988333991,0.1542775305913279,77362390.38778974,117016822.43721025,0.14301356342074,76596883.4935445,0.0936138328419664,108502951.05633426,0.132608229731746,0.6168745389353051,0.2613872257201187
High Margin Target,Conservative,0.04,0.02,0.08,0.612456863900345,36383,472913075.0,0.1255542712960173,0.1217876480773987,0.1197653272132589,0.1549274607841359,22171888.73996336,70401426.02503665,0.1488675821133443,61283265.37625301,0.1295867435601204,111717993.35121636,0.2362336743411384,0.769837561498502,0.0
High Margin Target,Balanced,0.04,0.02,0.08,0.8370844205033247,49727,667123675.0,0.1570982935102258,0.1553079815794236,0.1282221509441551,0.159872342357887,44890819.34085436,122096139.31414564,0.1830187473321879,101518224.41116256,0.1521730201092961,161341727.09701693,0.2418468016399162,0.7353148189112555,0.134212801898365
High Margin Target,Growth,0.04,0.02,0.08,0.9350223045198216,55545,768067625.0,0.1766527366505176,0.175983436853002,0.1328284814114681,0.1626171503960089,64016744.60387994,157799454.62112004,0.2054499493076798,125973392.86341152,0.1640134133546008,186995444.24229148,0.2434622136850143,0.7163741110811054,0.2248987307588441
High Margin Target,Aggressive,0.04,0.02,0.08,0.9812137025502904,58289,818221850.0,0.1892061780497692,0.1888006313369589,0.135419988333991,0.164277530591328,77362390.38778974,176585978.43721023,0.2158167475449479,136166039.49354452,0.1664170169661743,197856685.05633423,0.2418130059180578,0.7064111581945135,0.2613872257201187
Stress Cost Scenario,Conservative,0.06,0.03,0.08,0.612456863900345,36383,472913075.0,0.1255542712960173,0.1217876480773987,0.1197653272132589,0.1849274607841359,22171888.73996336,25087868.275036648,0.0530496397779584,15969707.626253009,0.0337688012247346,111717993.35121636,0.2362336743411384,0.919852678448726,0.0
Stress Cost Scenario,Balanced,0.06,0.03,0.08,0.8370844205033247,49727,667123675.0,0.1570982935102258,0.1553079815794236,0.1282221509441551,0.189872342357887,44890819.34085436,53876273.56414564,0.0807590490086349,33298358.661162563,0.0499133217857431,161341727.09701693,0.2418468016399162,0.903131095782975,0.134212801898365
Stress Cost Scenario,Growth,0.06,0.03,0.08,0.9350223045198216,55545,768067625.0,0.1766527366505176,0.175983436853002,0.1328284814114681,0.1926171503960089,64016744.60387994,75741389.87112004,0.0986129181933948,43915328.11341153,0.0571763822403157,186995444.24229148,0.2434622136850143,0.8900531100909173,0.2248987307588441
Stress Cost Scenario,Aggressive,0.06,0.03,0.08,0.9812137025502904,58289,818221850.0,0.1892061780497692,0.1888006313369589,0.135419988333991,0.194277530591328,77362390.38778974,87232244.43721023,0.106611971358636,46812305.4935445,0.0572122407798624,197856685.05633423,0.2418130059180578,0.8831168831168831,0.2613872257201187
